X,Y,indirizzo,nome,longitude,latitude
11.0926934313233,43.8800938194058,V.S.Caterina 17,Biblioteca dell'Archivio Fotografico Toscano (A.F.T.),11.092693,43.880094
11.1089341955623,43.8610328520078,V.le Repubblica 277,Biblioteca del Centro per l'Arte Contemporanea L.Pecci CID/Arti,11.108934,43.861033
11.1182144502385,43.870492536059,V.le A.De Gasperi 69,Punto lettura Circoscrizione Est,11.118214,43.870493
11.0822476718637,43.8786992915218,V.Galcianese 20/H,Biblioteca di Scienze Geoambientali e Planetarie (ex IGT),11.082248,43.878699
11.0987239789323,43.877246178676,V.S.Chiara 24,Istituto culturale e di documentazione Biblioteca A.Lazzerini,11.098724,43.877246
11.0935133127466,43.8783199165992,P.za Collegio 12,Biblioteca del Convitto Nazionale Cicognini,11.093513,43.878320
11.0957532931729,43.8790417864317,V.S.Trinita 2,Biblioteca musicale L.Bettarini della Scuola comunale di musica,11.095753,43.879042
11.0911548547781,43.8794648419737,P.za Ospedale 2,Punto lettura e prestito Ospedale Misericordia e Dolce,11.091155,43.879465
11.0962498957353,43.8797222821438,P.za S.Francesco 27,Biblioteca Roncioniana,11.096250,43.879722
11.0992007984328,43.8796068769157,V.B.Cairoli 59,Biblioteca della Fondazione Teatro Metastasio,11.099201,43.879607
11.0998960232156,43.8802673659392,V.G.Verdi 19,Centro di Documentazione La Nara,11.099896,43.880267
11.0910836934499,43.8735984307289,V.Roma 101,Agenzia per le Politiche minorili e familiari,11.091084,43.873598
11.0955774088742,43.8803374341595,V.S.L.Mazzei 37,Biblioteca dell'Istituto di Studi Storici Postali,11.095577,43.880337
11.0955069418041,43.8802695364604,V.S.L.Mazzei 41,Biblioteca dell'Archivio di Stato di Prato,11.095507,43.880270
11.0956987389609,43.8809223126393,V.Altopascio 8,Biblioteca del Club Alpino Italiano - Sezione E. Bertini,11.095699,43.880922
11.0960531932677,43.8818757399465,V.L.Muzzi 38,Biblioteca dell'Istituto Internazionale di Storia Economica F.Datini,11.096053,43.881876
11.0972304213664,43.8817780577086,P.za Duomo 8,Biblioteca dell'Agenzia per il Turismo (A.P.T.),11.097230,43.881778
11.093775538241,43.8835637548313,V.Seminario 28,Biblioteca del Seminario Vescovile,11.093776,43.883564
11.0937604856153,43.8835699966669,V.Seminario 28,Biblioteca dell'Archivio Storico Diocesano,11.093760,43.883570
11.1120851789554,43.8857633986605,Salita Cappuccini 1/A,Centro di Studi e Documentazione del Centro di Solidarieta' ,11.112085,43.885763
11.0982684248028,43.8854653776113,P.za G.Ciardi 25,Biblioteca Polo universitario Citta'  di Prato (PIN),11.098268,43.885465
11.0926062459222,43.8899965905252,V.G.Galeotti 32,Biblioteca della U.I.S.P. (Unione Italiana Sport per tutti),11.092606,43.889997
11.0913032304955,43.8933877626605,V.F.Corridoni 11,Biblioteca comunale decentrata della Circoscrizione Nord,11.091303,43.893388
11.0566036856497,43.8875637074186,V.I.Del Lungo 12,Biblioteca comunale decentrata della Circoscrizione Ovest,11.056604,43.887564
11.0846883668048,43.9098502898105,V.Galceti 74,Biblioteca del Centro di Scienze Naturali,11.084688,43.909850
11.092512704071,43.9231734713249,V.Cantagallo 250,Centro di Documentazione della Deportazione e Resistenza,11.092513,43.923173
